num_samples,num_demonstrations,bert_score,bleu_score,accuracy
99,0,0.7270944714546204,0.0,0.0
100,1,0.9535176753997803,0.3963963963963964,0.45
100,2,0.9646835327148438,0.4716981132075472,0.52
98,3,0.9637285470962524,0.49504950495049505,0.5306122448979592
97,4,0.9707218408584595,0.5876288659793815,0.5979381443298969
