num_samples,num_demonstrations,bert_score,bleu_score,accuracy
100,0,0.7757756114006042,0.0079671656204732,0.0
100,1,0.8361013531684875,0.04190880643719268,0.34
84,2,0.83253413438797,0.03712543092018033,0.30952380952380953
17,3,0.8274815678596497,0.027759418374091217,0.29411764705882354
