num_samples,num_demonstrations,bert_score,bleu_score,accuracy,bleurt_score
100,0,0.8325974941253662,0.11586051743532058,0.21,-0.9377404390275479
100,1,0.8899127840995789,0.22369942196531792,0.47,-0.7148975171148777
78,2,0.8817886114120483,0.1955056179775281,0.38461538461538464,-0.7682168499017373
