num_samples,num_demonstrations,bert_score,bleu_score,bleurt_score
100,0,0.7933433055877686,0.018747466558573164,-0.5358930777013302
99,1,0.8115265965461731,0.022408687068114514,-0.8212237331000242
90,2,0.8143864870071411,0.016415115126142996,-0.83500311192539
