num_samples,num_demonstrations,bert_score,bleu_score,accuracy,bleurt
99,0,0.8106082081794739,0.0,0.0,-1.416599700547228
100,1,0.837128221988678,0.03625110521662245,0.43,-1.0274333029985427
100,2,0.846950352191925,0.042766151046405826,0.49,-0.9286198779940605
