num_samples,num_demonstrations,bert_score,bleu_score,accuracy,bleurt
100,0,0.8325974941253662,0.11586051743532058,0.21,-1.1580754466727377
100,1,0.8827047944068909,0.19908466819221968,0.36,-0.9994986824691295
87,2,0.8840702772140503,0.21035386631716907,0.42528735632183906,-0.9930543500887251
14,3,0.8817148804664612,0.2032520325203252,0.5,-0.99991261107581
